Voter ID,County,Constituency,Ward,Region,Age,Gender,Registered Party,Voting Turnout,Year,Presidential Vote,MP Vote,MCA Vote
VOTER00080,Baringo,Constituency 3,Ward 4,Rift Valley,55,Female,UDA,No,2017,UDA,Wiper,ODM
VOTER00081,Mandera,Constituency 3,Ward 4,North Eastern,42,Male,UDA,No,2013,UDA,Kanu,Jubilee
VOTER00082,Kirinyaga,Constituency 5,Ward 5,Central,80,Male,UDA,Yes,2017,UDA,Jubilee,Jubilee
VOTER00083,Meru,Constituency 6,Ward 2,Eastern,48,Female,UDA,Yes,2013,Wiper,Wiper,Independent
VOTER00084,Meru,Constituency 3,Ward 4,Eastern,22,Male,UDA,Yes,2022,Wiper,Wiper,UDA
VOTER00085,Garissa,Constituency 3,Ward 4,North Eastern,37,Male,ODM,Yes,2017,ODM,Wiper,Independent
VOTER00086,Bomet,Constituency 9,Ward 4,Rift Valley,58,Female,UDA,Yes,2022,UDA,UDA,ODM
VOTER00087,Nairobi,Constituency 2,Ward 4,Nairobi,30,Male,UDA,Yes,2017,UDA,Jubilee,UDA
VOTER00088,Nairobi,Constituency 6,Ward 4,Nairobi,36,Male,UDA,Yes,2022,UDA,ODM,UDA
VOTER00089,Tharaka Nithi,Constituency 4,Ward 4,Eastern,36,Male,UDA,Yes,2017,UDA,Wiper,Jubilee
VOTER00090,Kisumu,Constituency 8,Ward 3,Nyanza,56,Female,ODM,Yes,2022,ODM,Jubilee,ODM
VOTER00091,Meru,Constituency 2,Ward 2,Eastern,66,Female,Wiper,Yes,2022,Wiper,Independent,Wiper
VOTER00092,Nairobi,Constituency 10,Ward 1,Nairobi,81,Female,ODM,Yes,2013,ODM,Kanu,Jubilee
VOTER00093,Nyamira,Constituency 2,Ward 1,Nyanza,57,Female,ODM,Yes,2013,ODM,Independent,ODM
VOTER00094,Bomet,Constituency 6,Ward 4,Rift Valley,40,Male,UDA,No,2013,UDA,Jubilee,Kanu
VOTER00095,Nairobi,Constituency 5,Ward 4,Nairobi,55,Female,UDA,Yes,2013,ODM,ODM,Independent
VOTER00096,Tharaka Nithi,Constituency 6,Ward 1,Eastern,68,Male,Wiper,Yes,2017,UDA,Independent,Jubilee
VOTER00097,Isiolo,Constituency 6,Ward 1,Eastern,47,Female,UDA,No,2013,Wiper,Kanu,ODM
VOTER00098,Baringo,Constituency 8,Ward 3,Rift Valley,70,Male,UDA,Yes,2013,UDA,UDA,Jubilee
VOTER00099,Garissa,Constituency 2,Ward 2,North Eastern,86,Male,UDA,Yes,2017,ODM,Kanu,Wiper
VOTER00100,Siaya,Constituency 2,Ward 4,Nyanza,70,Female,ODM,Yes,2013,ODM,ODM,Wiper
VOTER00101,Garissa,Constituency 6,Ward 1,North Eastern,65,Female,UDA,Yes,2013,UDA,Wiper,UDA
VOTER00102,Taita Taveta,Constituency 10,Ward 1,Coast,24,Female,UDA,No,2013,ODM,Kanu,ODM
VOTER00103,Kwale,Constituency 6,Ward 2,Coast,18,Female,UDA,Yes,2013,UDA,UDA,Independent
VOTER00104,Murang'a,Constituency 1,Ward 3,Central,48,Female,UDA,Yes,2013,UDA,UDA,ODM
VOTER00105,Tharaka Nithi,Constituency 2,Ward 1,Eastern,78,Female,Wiper,Yes,2017,Wiper,Kanu,UDA
VOTER00106,Nairobi,Constituency 1,Ward 1,Nairobi,79,Female,ODM,Yes,2017,ODM,UDA,UDA
VOTER00107,Vihiga,Constituency 2,Ward 2,Western,53,Female,Ford Kenya,Yes,2017,ODM,Kanu,Wiper
VOTER00108,Baringo,Constituency 2,Ward 5,Rift Valley,45,Female,UDA,No,2017,UDA,Wiper,Jubilee
VOTER00109,Wajir,Constituency 7,Ward 1,North Eastern,58,Female,ODM,Yes,2017,UDA,Wiper,UDA
VOTER00110,Uasin Gishu,Constituency 2,Ward 4,Rift Valley,30,Female,UDA,Yes,2013,UDA,Kanu,Kanu
VOTER00111,Kakamega,Constituency 7,Ward 3,Western,72,Male,UDA,Yes,2017,ODM,ODM,ODM
VOTER00112,Garissa,Constituency 2,Ward 3,North Eastern,89,Female,ODM,Yes,2013,Jubilee,Kanu,Kanu
VOTER00113,Embu,Constituency 5,Ward 1,Central,41,Female,UDA,No,2022,UDA,Jubilee,Jubilee
VOTER00114,Murang'a,Constituency 3,Ward 5,Central,69,Male,UDA,Yes,2013,UDA,UDA,UDA
VOTER00115,Tana River,Constituency 7,Ward 4,Coast,61,Male,ODM,Yes,2017,UDA,Kanu,UDA
VOTER00116,Murang'a,Constituency 3,Ward 5,Central,24,Male,UDA,Yes,2017,UDA,Wiper,Wiper
VOTER00117,Wajir,Constituency 5,Ward 2,North Eastern,83,Male,UDA,Yes,2017,ODM,Wiper,Kanu
VOTER00118,Nairobi,Constituency 4,Ward 4,Nairobi,25,Male,UDA,Yes,2013,UDA,Jubilee,Jubilee
VOTER00119,Kakamega,Constituency 1,Ward 4,Western,73,Male,ODM,Yes,2013,ODM,Independent,Jubilee
VOTER00120,Kericho,Constituency 1,Ward 4,Rift Valley,20,Female,UDA,No,2013,UDA,Kanu,Wiper
VOTER00121,Isiolo,Constituency 7,Ward 3,Eastern,32,Female,UDA,Yes,2013,UDA,Wiper,Independent
VOTER00122,Kakamega,Constituency 7,Ward 1,Western,49,Female,ODM,Yes,2022,Ford Kenya,Independent,Jubilee
VOTER00123,Kilifi,Constituency 3,Ward 1,Coast,83,Male,ODM,No,2022,ODM,Independent,Independent
VOTER00124,Homa Bay,Constituency 2,Ward 2,Nyanza,50,Male,ODM,Yes,2013,ODM,Independent,UDA
VOTER00125,Nyamira,Constituency 8,Ward 4,Nyanza,90,Female,ODM,No,2022,ODM,Kanu,Independent
VOTER00126,Busia,Constituency 3,Ward 4,Western,26,Female,UDA,No,2017,ODM,Jubilee,Kanu
VOTER00127,Bomet,Constituency 8,Ward 4,Rift Valley,22,Male,UDA,No,2017,UDA,UDA,Independent
VOTER00128,Narok,Constituency 10,Ward 5,Rift Valley,67,Female,UDA,Yes,2022,UDA,Independent,UDA
VOTER00129,Mandera,Constituency 4,Ward 3,North Eastern,78,Male,UDA,No,2013,Jubilee,Independent,UDA
VOTER00130,Kisumu,Constituency 4,Ward 4,Nyanza,74,Male,ODM,Yes,2017,ODM,Jubilee,Wiper
VOTER00131,Kitui,Constituency 10,Ward 1,Eastern,60,Male,Wiper,Yes,2017,Wiper,Independent,Independent
VOTER00132,Migori,Constituency 2,Ward 5,Nyanza,36,Female,ODM,No,2017,ODM,Independent,Independent
VOTER00133,Makueni,Constituency 10,Ward 1,Eastern,57,Female,UDA,No,2022,UDA,Independent,Independent
VOTER00134,Baringo,Constituency 7,Ward 5,Rift Valley,64,Male,UDA,Yes,2017,UDA,ODM,Jubilee
VOTER00135,Garissa,Constituency 4,Ward 2,North Eastern,37,Male,Jubilee,Yes,2017,ODM,Independent,Kanu
VOTER00136,Nyandarua,Constituency 6,Ward 5,Central,34,Female,UDA,Yes,2013,UDA,Independent,Kanu
VOTER00137,Nyamira,Constituency 8,Ward 1,Nyanza,70,Female,ODM,Yes,2022,ODM,Wiper,Kanu
VOTER00138,Nairobi,Constituency 4,Ward 5,Nairobi,48,Female,ODM,Yes,2017,ODM,Kanu,Wiper
VOTER00139,Wajir,Constituency 7,Ward 5,North Eastern,85,Female,Jubilee,No,2013,UDA,Jubilee,UDA
VOTER00140,Wajir,Constituency 9,Ward 1,North Eastern,84,Male,UDA,Yes,2017,UDA,Kanu,ODM
VOTER00141,Machakos,Constituency 4,Ward 4,Eastern,62,Male,Wiper,Yes,2017,Wiper,UDA,Jubilee
VOTER00142,Mombasa,Constituency 6,Ward 1,Coast,60,Male,ODM,No,2013,ODM,ODM,Independent
VOTER00143,Wajir,Constituency 10,Ward 1,North Eastern,28,Male,UDA,Yes,2017,Jubilee,Kanu,Kanu
VOTER00144,Machakos,Constituency 5,Ward 2,Eastern,56,Male,Wiper,Yes,2013,UDA,UDA,UDA
VOTER00145,Mandera,Constituency 9,Ward 1,North Eastern,83,Male,UDA,Yes,2022,ODM,ODM,Kanu
VOTER00146,Makueni,Constituency 2,Ward 5,Eastern,64,Male,Wiper,No,2022,Wiper,UDA,Wiper
VOTER00147,Garissa,Constituency 7,Ward 3,North Eastern,50,Male,ODM,Yes,2017,ODM,Independent,UDA
VOTER00148,Vihiga,Constituency 1,Ward 3,Western,87,Female,ODM,No,2022,ODM,Independent,Wiper
VOTER00149,Homa Bay,Constituency 2,Ward 4,Nyanza,22,Female,ODM,Yes,2013,ODM,ODM,UDA
VOTER00150,Busia,Constituency 9,Ward 4,Western,87,Female,ODM,Yes,2017,ODM,UDA,Independent
VOTER00151,Busia,Constituency 2,Ward 3,Western,73,Female,ODM,No,2022,ODM,ODM,Wiper
VOTER00152,Wajir,Constituency 9,Ward 3,North Eastern,28,Female,UDA,No,2013,UDA,Jubilee,Jubilee
VOTER00153,Uasin Gishu,Constituency 6,Ward 3,Rift Valley,57,Female,UDA,Yes,2022,UDA,ODM,Independent
VOTER00154,Wajir,Constituency 8,Ward 1,North Eastern,63,Female,ODM,No,2017,UDA,Independent,Independent
VOTER00155,Kitui,Constituency 9,Ward 2,Eastern,21,Male,UDA,Yes,2022,Wiper,ODM,Independent
VOTER00156,Busia,Constituency 7,Ward 5,Western,22,Male,ODM,Yes,2022,ODM,UDA,Kanu
VOTER00157,Kisii,Constituency 6,Ward 4,Nyanza,58,Female,ODM,No,2013,ODM,UDA,Independent
VOTER00158,Siaya,Constituency 9,Ward 4,Nyanza,89,Male,ODM,No,2017,ODM,Independent,Wiper
VOTER00159,Lamu,Constituency 5,Ward 4,Coast,43,Male,UDA,Yes,2013,UDA,Wiper,UDA
VOTER00160,Busia,Constituency 2,Ward 5,Western,87,Female,Ford Kenya,Yes,2017,Ford Kenya,Independent,ODM
VOTER00161,Vihiga,Constituency 2,Ward 2,Western,35,Male,ODM,Yes,2017,ODM,Kanu,ODM
VOTER00162,Uasin Gishu,Constituency 5,Ward 4,Rift Valley,79,Female,UDA,No,2017,UDA,UDA,ODM
VOTER00163,Kakamega,Constituency 8,Ward 4,Western,84,Female,Ford Kenya,No,2013,UDA,ODM,ODM
VOTER00164,Tharaka Nithi,Constituency 1,Ward 1,Eastern,84,Male,Wiper,Yes,2017,UDA,Jubilee,Kanu
VOTER00165,Nairobi,Constituency 5,Ward 2,Nairobi,88,Female,ODM,Yes,2013,UDA,Independent,ODM
VOTER00166,Homa Bay,Constituency 10,Ward 5,Nyanza,61,Male,ODM,Yes,2013,ODM,Independent,Kanu
VOTER00167,Nairobi,Constituency 10,Ward 4,Nairobi,21,Female,ODM,Yes,2022,UDA,ODM,Independent
VOTER00168,Kitui,Constituency 8,Ward 1,Eastern,25,Male,Wiper,Yes,2017,Wiper,ODM,Jubilee
VOTER00169,Busia,Constituency 7,Ward 2,Western,65,Male,ODM,Yes,2017,ODM,ODM,UDA
VOTER00170,Kirinyaga,Constituency 7,Ward 5,Central,71,Male,UDA,No,2013,UDA,Kanu,Independent
VOTER00171,Vihiga,Constituency 3,Ward 4,Western,83,Female,Ford Kenya,Yes,2017,ODM,Wiper,Kanu
VOTER00172,Garissa,Constituency 4,Ward 5,North Eastern,63,Male,UDA,Yes,2013,Jubilee,Independent,Wiper
VOTER00173,Nairobi,Constituency 2,Ward 4,Nairobi,35,Female,UDA,Yes,2022,UDA,UDA,Kanu
VOTER00174,Kilifi,Constituency 9,Ward 3,Coast,27,Female,ODM,Yes,2022,UDA,Kanu,Independent
VOTER00175,Nakuru,Constituency 2,Ward 4,Rift Valley,65,Female,UDA,No,2022,UDA,ODM,ODM
VOTER00176,Tharaka Nithi,Constituency 1,Ward 1,Eastern,22,Male,Wiper,Yes,2022,Wiper,Kanu,Kanu
VOTER00177,Migori,Constituency 10,Ward 3,Nyanza,38,Female,ODM,Yes,2022,ODM,Jubilee,Kanu
VOTER00178,Bungoma,Constituency 10,Ward 3,Western,78,Male,ODM,Yes,2017,ODM,Jubilee,Independent
VOTER00179,Embu,Constituency 8,Ward 3,Central,47,Male,UDA,Yes,2022,UDA,Kanu,Independent
VOTER00180,Makueni,Constituency 4,Ward 1,Eastern,32,Male,Wiper,Yes,2013,Wiper,ODM,Wiper
VOTER00181,Mandera,Constituency 1,Ward 2,North Eastern,84,Male,UDA,Yes,2022,ODM,Jubilee,ODM
VOTER00182,Mandera,Constituency 6,Ward 5,North Eastern,63,Female,UDA,No,2022,UDA,Jubilee,ODM
VOTER00183,Nairobi,Constituency 4,Ward 4,Nairobi,58,Female,ODM,No,2017,ODM,Jubilee,UDA
VOTER00184,Meru,Constituency 6,Ward 2,Eastern,55,Male,UDA,Yes,2017,UDA,Independent,Jubilee
VOTER00185,Garissa,Constituency 4,Ward 5,North Eastern,52,Female,UDA,Yes,2013,UDA,UDA,Independent
VOTER00186,Taita Taveta,Constituency 4,Ward 1,Coast,30,Female,UDA,Yes,2017,UDA,UDA,Kanu
VOTER00187,Siaya,Constituency 8,Ward 4,Nyanza,43,Female,ODM,Yes,2017,ODM,UDA,UDA
VOTER00188,Lamu,Constituency 1,Ward 2,Coast,71,Male,UDA,Yes,2013,ODM,Independent,Jubilee
VOTER00189,Nyeri,Constituency 5,Ward 5,Central,31,Female,UDA,Yes,2017,UDA,Independent,Kanu
VOTER00190,Garissa,Constituency 9,Ward 4,North Eastern,52,Male,UDA,Yes,2013,ODM,Independent,ODM
VOTER00191,Nyandarua,Constituency 6,Ward 3,Central,90,Male,UDA,Yes,2013,UDA,Independent,Wiper
VOTER00192,Tharaka Nithi,Constituency 6,Ward 1,Eastern,69,Male,UDA,Yes,2013,UDA,UDA,Jubilee
VOTER00193,Makueni,Constituency 8,Ward 3,Eastern,60,Female,UDA,Yes,2022,UDA,Independent,ODM
VOTER00194,Nyandarua,Constituency 2,Ward 4,Central,57,Male,UDA,Yes,2017,UDA,Independent,Jubilee
VOTER00195,Baringo,Constituency 5,Ward 3,Rift Valley,46,Male,UDA,Yes,2013,UDA,Wiper,Independent
VOTER00196,Bungoma,Constituency 9,Ward 4,Western,86,Male,UDA,Yes,2013,UDA,Kanu,Wiper
VOTER00197,Kakamega,Constituency 10,Ward 1,Western,25,Male,ODM,Yes,2022,Ford Kenya,Wiper,UDA
VOTER00198,Taita Taveta,Constituency 10,Ward 4,Coast,29,Female,ODM,Yes,2013,ODM,UDA,Kanu
VOTER00199,Mandera,Constituency 5,Ward 1,North Eastern,68,Female,ODM,Yes,2013,UDA,Jubilee,Independent
VOTER00200,Narok,Constituency 1,Ward 1,Rift Valley,78,Male,UDA,Yes,2017,UDA,ODM,Independent
VOTER00201,Kitui,Constituency 7,Ward 4,Eastern,66,Female,UDA,Yes,2013,Wiper,Independent,Jubilee
VOTER00202,Nakuru,Constituency 9,Ward 4,Rift Valley,85,Male,UDA,No,2022,UDA,UDA,UDA
VOTER00203,Nairobi,Constituency 9,Ward 4,Nairobi,86,Female,UDA,Yes,2013,UDA,Independent,UDA
VOTER00204,Nyandarua,Constituency 7,Ward 5,Central,20,Male,UDA,Yes,2013,UDA,Kanu,UDA
VOTER00205,Mandera,Constituency 1,Ward 2,North Eastern,23,Female,UDA,Yes,2017,Jubilee,UDA,ODM
VOTER00206,Nairobi,Constituency 10,Ward 3,Nairobi,59,Male,ODM,No,2017,ODM,Wiper,Jubilee
VOTER00207,Nairobi,Constituency 9,Ward 5,Nairobi,40,Female,UDA,No,2022,ODM,Independent,Wiper
VOTER00208,Bungoma,Constituency 7,Ward 2,Western,56,Female,UDA,Yes,2013,Ford Kenya,Jubilee,Independent
VOTER00209,Siaya,Constituency 1,Ward 5,Nyanza,70,Female,ODM,Yes,2022,ODM,Wiper,ODM
VOTER00210,Nairobi,Constituency 6,Ward 1,Nairobi,75,Female,ODM,No,2013,UDA,Wiper,Independent
VOTER00211,Nyeri,Constituency 4,Ward 5,Central,89,Male,UDA,Yes,2017,UDA,Jubilee,Jubilee
VOTER00212,Murang'a,Constituency 4,Ward 1,Central,79,Male,UDA,Yes,2022,UDA,ODM,Wiper
VOTER00213,Lamu,Constituency 6,Ward 3,Coast,66,Female,ODM,Yes,2022,ODM,Wiper,Wiper
VOTER00214,Baringo,Constituency 8,Ward 3,Rift Valley,44,Female,UDA,Yes,2017,UDA,Kanu,ODM
VOTER00215,Kisumu,Constituency 5,Ward 5,Nyanza,71,Female,ODM,Yes,2013,ODM,ODM,Wiper
VOTER00216,Tana River,Constituency 9,Ward 3,Coast,50,Female,ODM,Yes,2022,ODM,Jubilee,ODM
VOTER00217,Nyamira,Constituency 9,Ward 4,Nyanza,41,Male,ODM,Yes,2022,ODM,UDA,Independent
VOTER00218,Nyeri,Constituency 7,Ward 2,Central,47,Male,UDA,Yes,2022,UDA,ODM,Kanu
VOTER00219,Wajir,Constituency 1,Ward 5,North Eastern,79,Female,UDA,Yes,2013,UDA,Kanu,Independent
VOTER00220,Nairobi,Constituency 1,Ward 5,Nairobi,73,Male,ODM,Yes,2013,UDA,Kanu,Kanu
VOTER00221,Nairobi,Constituency 5,Ward 4,Nairobi,28,Female,UDA,Yes,2017,ODM,Jubilee,Independent
VOTER00222,Baringo,Constituency 1,Ward 1,Rift Valley,69,Female,UDA,Yes,2017,UDA,UDA,Independent
VOTER00223,Nyandarua,Constituency 3,Ward 1,Central,81,Female,UDA,No,2022,UDA,Kanu,UDA
VOTER00224,Murang'a,Constituency 4,Ward 5,Central,78,Female,UDA,No,2013,UDA,Independent,Jubilee
VOTER00225,Murang'a,Constituency 6,Ward 1,Central,44,Male,UDA,No,2022,UDA,UDA,Jubilee
VOTER00226,Kisii,Constituency 4,Ward 5,Nyanza,67,Female,ODM,No,2017,ODM,ODM,Independent
VOTER00227,Narok,Constituency 6,Ward 1,Rift Valley,30,Female,UDA,No,2013,UDA,Jubilee,Kanu
VOTER00228,Kitui,Constituency 1,Ward 3,Eastern,75,Female,Wiper,No,2013,Wiper,Independent,Kanu
VOTER00229,Machakos,Constituency 10,Ward 3,Eastern,49,Male,Wiper,Yes,2013,UDA,ODM,Independent
VOTER00230,Kitui,Constituency 6,Ward 1,Eastern,29,Male,Wiper,No,2017,Wiper,UDA,ODM
VOTER00231,Meru,Constituency 9,Ward 5,Eastern,83,Female,Wiper,Yes,2013,Wiper,Kanu,Jubilee
